sample,link,dataset_type,filetype,size
ZPXU188,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPXU188_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.73 GB
ZQFL1P3,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZQFL1P3_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.52 GB
ZQMVU4Q,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZQMVU4Q_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.19 GB
ZQNZSQF,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZQNZSQF_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.41 GB
ZR3WH7V,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZR3WH7V_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.09 GB
ZR47VBL,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZR47VBL_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.34 GB
ZRA5YD8,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZRA5YD8_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.44 GB
ZRB0F6P,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZRB0F6P_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.98 GB
ZS78KHV,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZS78KHV_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.12 GB
ZSOZWGV,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZSOZWGV_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.62 GB
ZSQNUZ5,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZSQNUZ5_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.44 GB
ZSUQ08V,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZSUQ08V_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.59 GB
ZTL5S2Y,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTL5S2Y_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.59 GB
ZTL8083,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTL8083_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.05 GB
ZTLUDS8,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTLUDS8_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.16 GB
ZTMFN3O,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTMFN3O_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.70 GB
ZTTL3YH,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTTL3YH_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.91 GB
ZTUO1AO,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTUO1AO_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.16 GB
ZTXWLP3,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTXWLP3_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.59 GB
ZTXY83G,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZTXY83G_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.05 GB
ZUF48YS,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZUF48YS_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.84 GB
ZUHT69X,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZUHT69X_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.73 GB
ZUL3S6O,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZUL3S6O_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.95 GB
ZUPAQVU,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZUPAQVU_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.05 GB
ZV14SIB,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZV14SIB_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.05 GB
ZVBQY1N,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVBQY1N_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.95 GB
ZVC4YUG,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVC4YUG_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,9.13 GB
ZVGW5FI,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVGW5FI_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,9.34 GB
ZVM4N7A,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVM4N7A_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,9.88 GB
ZW61YGW,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZW61YGW_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,9.45 GB
ZWHMV5E,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZWHMV5E_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.84 GB
ZXHCGKV,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZXHCGKV_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.80 GB
ZY39SN0,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZY39SN0_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.62 GB
ZY7IW45,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZY7IW45_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.98 GB
ZY9XQJP,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZY9XQJP_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.38 GB
ZYHHR4Z,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZYHHR4Z_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.52 GB
ZYU89T9,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZYU89T9_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.95 GB
ZPDABJR,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPDABJR_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.87 GB
ZPEL6L3,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPEL6L3_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,5.91 GB
ZPF36E2,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPF36E2_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.23 GB
ZPJT5MY,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPJT5MY_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.09 GB
ZPMBHPS,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZPMBHPS_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.95 GB
ZS2DMX7,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZS2DMX7_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,6.55 GB
ZSMO1UM,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZSMO1UM_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.27 GB
ZV1ZA6Z,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZV1ZA6Z_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.84 GB
ZVNCGHM,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVNCGHM_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,8.80 GB
ZVTCAK9,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZVTCAK9_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,9.45 GB
ZWCZHHY,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZWCZHHY_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.73 GB
ZXKBAO5,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZXKBAO5_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,7.95 GB
ZYLJ7R7,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZYLJ7R7_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZX52KVK,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZX52KVK_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZXSDNAK,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZXSDNAK_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZJTKAE3,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZJTKAE3_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZRLZ98T,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZRLZ98T_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZKFV71L,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZKFV71L_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZKVR426,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZKVR426_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLYEM2C,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLYEM2C_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLZQMEV,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLZQMEV_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
